year,imports,exports,reexports,trade
2012,18464.28947368421,4223.078947368421,8209.078947368422,30896.447368421053
2013,20352.684210526317,3657.5,9528.184210526315,33538.36842105263
2014,21134.236842105263,2975.315789473684,9499.315789473685,33608.86842105263
2015,19258.79487179487,3352.846153846154,8827.846153846154,31439.48717948718
2016,19868.736842105263,3729.815789473684,8356.447368421053,31955.0
2017,19786.57894736842,3655.315789473684,9196.157894736842,32638.052631578947
2018,19436.5641025641,3209.3333333333335,10248.153846153846,32894.05128205128
2019,19245.682926829268,3721.682926829268,10250.170731707318,33217.53658536585
2020,16610.0,4015.268292682927,8035.317073170731,28660.585365853658
