serial,codes,items,abrev,year,trade,imports,exports,reexports,total
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2017,FZT,13010,4590,7547,25147
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2018,FZT,9076,4736,7110,20922
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2019,FZT,9098,6476,5829,21403
4,4,"Prepared Foodstuffs, beverages and tobacco",Food Baverage,2020,FZT,9301,7608,5397,22306
5,5,Mineral products ,Minerals,2012,DFT,5280,3102,566,8948
5,5,Mineral products ,Minerals,2013,DFT,6186,3773,687,10646
5,5,Mineral products ,Minerals,2014,DFT,5699,3956,483,10138
5,5,Mineral products ,Minerals,2015,DFT,5081,3492,489,9062
5,5,Mineral products ,Minerals,2016,DFT,9351,3381,380,13112
5,5,Mineral products ,Minerals,2017,DFT,9573,3778,469,13820
5,5,Mineral products ,Minerals,2018,DFT,11300,3952,297,15549
5,5,Mineral products ,Minerals,2019,DFT,22555,4148,354,27057
5,5,Mineral products ,Minerals,2020,DFT,28665,3987,357,33009
5,5,Mineral products ,Minerals,2012,FZT,16700,1648,14545,32893
