Code,Item,Imports,Exports,Re-Exports,Year,Trade
16,"16- Machinery, sound recorders, TV and electrical equipment"," 120,784 "," 3,184 "," 95,685 ",2017,FZT
17,"17- Vehicles, aircraft and vessels"," 18,827 "," 1,826 "," 12,770 ",2017,FZT
18,"18- Optical, medical equipments and watches"," 7,042 ", 175 ," 6,556 ",2017,FZT
19,"19- Arms, ammunition, parts and accessories", 2 , -   , -   ,2017,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 4,601 ", 136 ," 2,529 ",2017,FZT
21,"21- Art work, collectors pieces and antiques", 127 , -   , 263 ,2017,FZT
1,"01- Live Animals, animals products"," 1,205 ", 4 , 646 ,2018,FZT
2,02- Vegetable products ," 1,206 ", 181 , 538 ,2018,FZT
3,"03- Animal and vegetable fats, oils and waxes", 72 , 29 , 29 ,2018,FZT
4,04- Prepared Foodstuffs," 9,076 "," 4,736 "," 7,110 ",2018,FZT
5,05- Mineral products ," 43,709 ", 709 ," 7,620 ",2018,FZT
6,06- Products of chemical and allied industries," 16,223 "," 1,213 "," 12,691 ",2018,FZT
7,"07- Plastics, rubber and articles thereof"," 7,072 "," 1,101 "," 4,079 ",2018,FZT
8,"08- Raw hides, skins, leather and articles"," 1,714 ", 2 ," 1,111 ",2018,FZT
9,"09- Wood and articles, cork and plating materials"," 1,071 ", 7 , 95 ,2018,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,871 ", 326 , 594 ,2018,FZT
11,11- Textiles and textile articles," 8,261 ", 217 ," 5,860 ",2018,FZT
12,"12- Footwear, headgear and umbrellas"," 3,047 ", -   ," 2,281 ",2018,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,000 ", 121 , 475 ,2018,FZT
14,"14- Pearls, precious stones and metals"," 30,489 ", 7 ," 27,994 ",2018,FZT
15,15- Base metals and articles of base metals," 11,732 "," 2,106 "," 4,390 ",2018,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 120,921 "," 4,207 "," 122,679 ",2018,FZT
17,"17- Vehicles, aircraft and vessels"," 20,945 ", 191 ," 17,727 ",2018,FZT
18,"18- Optical, medical equipments and watches"," 6,959 ", 180 ," 6,516 ",2018,FZT
19,"19- Arms, ammunition, parts and accessories", 3 , -   , -   ,2018,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 3,999 ", 102 ," 2,778 ",2018,FZT
21,"21- Art work, collectors pieces and antiques", 193 , -   , 360 ,2018,FZT
1,"01- Live Animals, animals products"," 2,319 ", 34 ," 2,185 ",2019,FZT
2,02- Vegetable products ," 1,077 ", 134 , 549 ,2019,FZT
3,"03- Animal and vegetable fats, oils and waxes", 47 , 28 , 38 ,2019,FZT
4,04- Prepared Foodstuffs," 9,098 "," 6,476 "," 5,829 ",2019,FZT
5,05- Mineral products ," 44,004 "," 11,649 "," 18,806 ",2019,FZT
6,06- Products of chemical and allied industries," 16,441 "," 1,272 "," 13,358 ",2019,FZT
7,"07- Plastics, rubber and articles thereof"," 7,263 "," 1,031 "," 4,416 ",2019,FZT
8,"08- Raw hides, skins, leather and articles"," 1,732 ", 40 ," 1,169 ",2019,FZT
9,"09- Wood and articles, cork and plating materials", 790 , 5 , 99 ,2019,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,936 ", 350 , 853 ,2019,FZT
11,11- Textiles and textile articles," 8,357 ", 226 ," 6,025 ",2019,FZT
12,"12- Footwear, headgear and umbrellas"," 3,674 ", 1 ," 2,707 ",2019,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 1,045 ", 98 , 524 ,2019,FZT
14,"14- Pearls, precious stones and metals"," 37,988 ", 155 ," 31,847 ",2019,FZT
15,15- Base metals and articles of base metals," 11,190 "," 1,655 "," 5,099 ",2019,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 131,242 "," 4,084 "," 134,566 ",2019,FZT
17,"17- Vehicles, aircraft and vessels"," 19,572 ", 145 ," 16,776 ",2019,FZT
18,"18- Optical, medical equipments and watches"," 7,596 ", 135 ," 6,904 ",2019,FZT
19,"19- Arms, ammunition, parts and accessories", 1 , -   , -   ,2019,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 4,156 ", 64 ," 2,472 ",2019,FZT
21,"21- Art work, collectors pieces and antiques", 320 , 1 , 315 ,2019,FZT
1,"01- Live Animals, animals products", 799 , 24 , 638 ,2020,FZT
2,02- Vegetable products ," 1,524 ", 206 , 921 ,2020,FZT
3,"03- Animal and vegetable fats, oils and waxes", 57 , 28 , 38 ,2020,FZT
4,04- Prepared Foodstuffs," 9,301 "," 7,608 "," 5,397 ",2020,FZT
5,05- Mineral products ," 22,689 "," 3,678 "," 8,217 ",2020,FZT
6,06- Products of chemical and allied industries," 15,695 "," 1,199 "," 12,177 ",2020,FZT
7,"07- Plastics, rubber and articles thereof"," 6,545 "," 1,006 "," 4,673 ",2020,FZT
8,"08- Raw hides, skins, leather and articles"," 1,191 ", 26 , 885 ,2020,FZT
9,"09- Wood and articles, cork and plating materials", 537 , 9 , 108 ,2020,FZT
10,"10- Pulp of wood, paper products and waste paper"," 1,664 ", 406 , 653 ,2020,FZT
11,11- Textiles and textile articles," 7,401 ", 276 ," 5,451 ",2020,FZT
12,"12- Footwear, headgear and umbrellas"," 2,566 ", 2 ," 2,378 ",2020,FZT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", 864 , 82 , 484 ,2020,FZT
14,"14- Pearls, precious stones and metals"," 12,684 ", 183 ," 8,930 ",2020,FZT
15,15- Base metals and articles of base metals," 8,957 "," 1,691 "," 3,669 ",2020,FZT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 123,714 "," 2,801 "," 127,431 ",2020,FZT
17,"17- Vehicles, aircraft and vessels"," 14,206 ", 88 ," 13,599 ",2020,FZT
18,"18- Optical, medical equipments and watches"," 6,233 ", 316 ," 5,808 ",2020,FZT
19,"19- Arms, ammunition, parts and accessories", 2 , -   , -   ,2020,FZT
20,20- Miscellaneous manufactured articles not elsewhere classified," 3,603 ", 64 ," 2,584 ",2020,FZT
21,"21- Art work, collectors pieces and antiques", 120 , 2 , 87 ,2020,FZT
1,"01- Live Animals, animals products", 11 , 3 , -   ,2012,CWT
2,02- Vegetable products , -   , -   , -   ,2012,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2012,CWT
4,"04- Prepared Foodstuffs, beverages and tobacco", 380 , 379 , -   ,2012,CWT
5,05- Mineral products , -   , -   , -   ,2012,CWT
6,06- Products of chemical and allied industries, 117 , 82 , -   ,2012,CWT
7,"07- Plastics, rubber and articles thereof", 166 , 102 , -   ,2012,CWT
8,"08- Raw hides, skins, leather and articles", 8 , 14 , -   ,2012,CWT
9,"09- Wood and articles, cork and plating materials", -   , -   , -   ,2012,CWT
10,"10- Pulp of wood, paper products and waste paper", 2 , -   , -   ,2012,CWT
11,11- Textiles and textile articles, 2 , 2 , -   ,2012,CWT
12,"12- Footwear, headgear and umbrellas", -   , -   , -   ,2012,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", -   , -   , -   ,2012,CWT
14,"14- Pearls, precious stones and metals", 5 , 1 , -   ,2012,CWT
15,15- Base metals and articles of base metals, -   , -   , -   ,2012,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 5,802 "," 1,791 ", -   ,2012,CWT
17,"17- Vehicles, aircraft and vessels", 959 , -   , -   ,2012,CWT
18,"18- Optical, medical equipments and watches", 145 , 69 , -   ,2012,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2012,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 19 , 3 , -   ,2012,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2012,CWT
1,"01- Live Animals, animals products", 9 , 3 , -   ,2013,CWT
2,02- Vegetable products , -   , -   , -   ,2013,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2013,CWT
4,"04- Prepared Foodstuffs, beverages and tobacco", 545 , 587 , -   ,2013,CWT
5,05- Mineral products , -   , -   , -   ,2013,CWT
6,06- Products of chemical and allied industries, 66 , 58 , -   ,2013,CWT
7,"07- Plastics, rubber and articles thereof", 204 , 119 , -   ,2013,CWT
8,"08- Raw hides, skins, leather and articles", 19 , 14 , -   ,2013,CWT
9,"09- Wood and articles, cork and plating materials", -   , -   , -   ,2013,CWT
10,"10- Pulp of wood, paper products and waste paper", 9 , 6 , -   ,2013,CWT
11,11- Textiles and textile articles, 9 , 9 , -   ,2013,CWT
12,"12- Footwear, headgear and umbrellas", -   , -   , -   ,2013,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", -   , -   , -   ,2013,CWT
14,"14- Pearls, precious stones and metals", 21 , 19 , -   ,2013,CWT
15,15- Base metals and articles of base metals, -   , -   , -   ,2013,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 10,267 "," 1,518 ", -   ,2013,CWT
17,"17- Vehicles, aircraft and vessels"," 2,255 ", 16 , -   ,2013,CWT
18,"18- Optical, medical equipments and watches", 135 , 82 , -   ,2013,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2013,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 23 , 16 , -   ,2013,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2013,CWT
1,"01- Live Animals, animals products", 37 , 12 , -   ,2014,CWT
2,02- Vegetable products , -   , -   , -   ,2014,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2014,CWT
4,"04- Prepared Foodstuffs, beverages and tobacco", 599 , 604 , -   ,2014,CWT
5,05- Mineral products , -   , -   , -   ,2014,CWT
6,06- Products of chemical and allied industries, 57 , 56 , -   ,2014,CWT
7,"07- Plastics, rubber and articles thereof", 233 , 106 , -   ,2014,CWT
8,"08- Raw hides, skins, leather and articles", 14 , 7 , -   ,2014,CWT
9,"09- Wood and articles, cork and plating materials", 1 , -   , -   ,2014,CWT
10,"10- Pulp of wood, paper products and waste paper", 44 , 9 , -   ,2014,CWT
11,11- Textiles and textile articles, 11 , 4 , -   ,2014,CWT
12,"12- Footwear, headgear and umbrellas", -   , -   , -   ,2014,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", -   , -   , -   ,2014,CWT
14,"14- Pearls, precious stones and metals", 19 , 20 , -   ,2014,CWT
15,15- Base metals and articles of base metals, 1 , -   , -   ,2014,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 17,710 ", 319 , -   ,2014,CWT
17,"17- Vehicles, aircraft and vessels"," 3,652 ", 6 , -   ,2014,CWT
18,"18- Optical, medical equipments and watches", 139 , 83 , -   ,2014,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2014,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 67 , 26 , -   ,2014,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2014,CWT
1,"01- Live Animals, animals products", 8 , 10 , -   ,2015,CWT
2,02- Vegetable products , -   , -   , -   ,2015,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2015,CWT
4,04- Prepared Foodstuffs, 607 , 620 , -   ,2015,CWT
5,05- Mineral products , 1 , -   , -   ,2015,CWT
6,06- Products of chemical and allied industries, 169 , 73 , -   ,2015,CWT
7,"07- Plastics, rubber and articles thereof", 175 , 99 , -   ,2015,CWT
8,"08- Raw hides, skins, leather and articles", 17 , 8 , -   ,2015,CWT
9,"09- Wood and articles, cork and plating materials", 1 , -   , -   ,2015,CWT
10,"10- Pulp of wood, paper products and waste paper", 93 , 11 , -   ,2015,CWT
11,11- Textiles and textile articles, 15 , 7 , -   ,2015,CWT
12,"12- Footwear, headgear and umbrellas", 1 , -   , -   ,2015,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", 1 , -   , -   ,2015,CWT
14,"14- Pearls, precious stones and metals", 24 , 22 , -   ,2015,CWT
15,15- Base metals and articles of base metals, 6 , 1 , -   ,2015,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 24,560 ", 287 , -   ,2015,CWT
17,"17- Vehicles, aircraft and vessels"," 5,759 ", 17 , -   ,2015,CWT
18,"18- Optical, medical equipments and watches", 164 , 73 , -   ,2015,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2015,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 257 , 40 , -   ,2015,CWT
21,"21- Art work, collectors pieces and antiques", 29 , 1 , -   ,2015,CWT
1,"01- Live Animals, animals products", 1 , 1 , -   ,2016,CWT
2,02- Vegetable products , -   , -   , -   ,2016,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2016,CWT
4,04- Prepared Foodstuffs, 604 , 560 , -   ,2016,CWT
5,05- Mineral products , 2 , -   , -   ,2016,CWT
6,06- Products of chemical and allied industries, 295 , 53 , -   ,2016,CWT
7,"07- Plastics, rubber and articles thereof", 133 , 81 , -   ,2016,CWT
8,"08- Raw hides, skins, leather and articles", 31 , 9 , -   ,2016,CWT
9,"09- Wood and articles, cork and plating materials", 3 , 1 , -   ,2016,CWT
10,"10- Pulp of wood, paper products and waste paper", 125 , 77 , -   ,2016,CWT
11,11- Textiles and textile articles, 51 , 17 , -   ,2016,CWT
12,"12- Footwear, headgear and umbrellas", 3 , 1 , -   ,2016,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", 3 , -   , -   ,2016,CWT
14,"14- Pearls, precious stones and metals", 15 , 16 , -   ,2016,CWT
15,15- Base metals and articles of base metals, 27 , 1 , -   ,2016,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 25,834 ", 426 , -   ,2016,CWT
17,"17- Vehicles, aircraft and vessels"," 5,619 ", 250 , -   ,2016,CWT
18,"18- Optical, medical equipments and watches", 148 , 69 , -   ,2016,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2016,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 271 , 26 , -   ,2016,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2016,CWT
1,"01- Live Animals, animals products", 1 , -   , -   ,2018,CWT
2,02- Vegetable products , -   , -   , -   ,2018,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2018,CWT
4,04- Prepared Foodstuffs, 122 , 97 , -   ,2018,CWT
5,05- Mineral products , 3 , -   , -   ,2018,CWT
6,06- Products of chemical and allied industries, 63 , 62 , -   ,2018,CWT
7,"07- Plastics, rubber and articles thereof", 20 , 5 , -   ,2018,CWT
8,"08- Raw hides, skins, leather and articles", 13 , 11 , -   ,2018,CWT
9,"09- Wood and articles, cork and plating materials", 1 , 1 , -   ,2018,CWT
10,"10- Pulp of wood, paper products and waste paper", 3 , 2 , -   ,2018,CWT
11,11- Textiles and textile articles, 99 , 12 , -   ,2018,CWT
12,"12- Footwear, headgear and umbrellas", 7 , 1 , -   ,2018,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", 4 , 2 , -   ,2018,CWT
14,"14- Pearls, precious stones and metals", 17 , 20 , -   ,2018,CWT
15,15- Base metals and articles of base metals, 6 , 14 , -   ,2018,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 1,359 ", 873 , -   ,2018,CWT
17,"17- Vehicles, aircraft and vessels"," 6,750 ", 574 , -   ,2018,CWT
18,"18- Optical, medical equipments and watches", 137 , 94 , -   ,2018,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2018,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 14 , 15 , -   ,2018,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2018,CWT
1,"01- Live Animals, animals products", -   , -   , -   ,2019,CWT
2,02- Vegetable products , -   , -   , -   ,2019,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2019,CWT
4,04- Prepared Foodstuffs, 87 , 10 , -   ,2019,CWT
5,05- Mineral products , 4 , 1 , -   ,2019,CWT
6,06- Products of chemical and allied industries, 29 , 33 , -   ,2019,CWT
7,"07- Plastics, rubber and articles thereof", 17 , 3 , -   ,2019,CWT
8,"08- Raw hides, skins, leather and articles", 7 , 4 , -   ,2019,CWT
9,"09- Wood and articles, cork and plating materials", 1 , -   , -   ,2019,CWT
10,"10- Pulp of wood, paper products and waste paper", 3 , 3 , -   ,2019,CWT
11,11- Textiles and textile articles, 105 , 27 , -   ,2019,CWT
12,"12- Footwear, headgear and umbrellas", 10 , 1 , -   ,2019,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", 4 , 1 , -   ,2019,CWT
14,"14- Pearls, precious stones and metals", 8 , 9 , -   ,2019,CWT
15,15- Base metals and articles of base metals, 5 , 2 , -   ,2019,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment", 919 , 743 , -   ,2019,CWT
17,"17- Vehicles, aircraft and vessels"," 5,486 "," 1,176 ", -   ,2019,CWT
18,"18- Optical, medical equipments and watches", 141 , 105 , -   ,2019,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2019,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 6 , 6 , -   ,2019,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2019,CWT
1,"01- Live Animals, animals products", 2 , -   , -   ,2020,CWT
2,02- Vegetable products , -   , -   , -   ,2020,CWT
3,"03- Animal and vegetable fats, oils and waxes", -   , -   , -   ,2020,CWT
4,04- Prepared Foodstuffs, 53 , 5 , -   ,2020,CWT
5,05- Mineral products , 2 , -   , -   ,2020,CWT
6,06- Products of chemical and allied industries, 11 , 4 , -   ,2020,CWT
7,"07- Plastics, rubber and articles thereof", 19 , 2 , -   ,2020,CWT
8,"08- Raw hides, skins, leather and articles", 37 , 5 , -   ,2020,CWT
9,"09- Wood and articles, cork and plating materials", -   , -   , -   ,2020,CWT
10,"10- Pulp of wood, paper products and waste paper", 1 , -   , -   ,2020,CWT
11,11- Textiles and textile articles, 83 , 20 , -   ,2020,CWT
12,"12- Footwear, headgear and umbrellas", 12 , 2 , -   ,2020,CWT
13,"13- Articles of stone, cement, asbestos, ceramics and glass", 2 , -   , -   ,2020,CWT
14,"14- Pearls, precious stones and metals", 1 , -   , -   ,2020,CWT
15,15- Base metals and articles of base metals, 38 , 2 , -   ,2020,CWT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 1,090 ", 920 , -   ,2020,CWT
17,"17- Vehicles, aircraft and vessels"," 3,598 ", 768 , -   ,2020,CWT
18,"18- Optical, medical equipments and watches", 81 , 48 , -   ,2020,CWT
19,"19- Arms, ammunition, parts and accessories", -   , -   , -   ,2020,CWT
20,20- Miscellaneous manufactured articles not elsewhere classified, 31 , 25 , -   ,2020,CWT
21,"21- Art work, collectors pieces and antiques", -   , -   , -   ,2020,CWT
