Code,Item,Imports,Exports,Re-Exports,Year,Trade
7,"07- Plastics, rubber and articles thereof"," 13,441 "," 4,872 "," 3,700 ",2015,DFT
8,"08- Raw hides, skins, leather and articles"," 3,463 ", 20 , 461 ,2015,DFT
9,"09- Wood and articles, cork and plating materials"," 3,377 ", 70 , 763 ,2015,DFT
10,"10- Pulp of wood, paper products and waste paper"," 3,980 "," 3,405 ", 603 ,2015,DFT
11,11- Textiles and textile articles," 22,917 "," 1,256 "," 6,377 ",2015,DFT
12,"12- Footwear, headgear and umbrellas"," 5,295 ", 31 , 776 ,2015,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 5,165 "," 2,286 "," 1,455 ",2015,DFT
14,"14- Pearls, precious stones and metals"," 142,366 "," 61,159 "," 59,292 ",2015,DFT
15,15- Base metals and articles of base metals," 27,263 "," 24,339 "," 4,667 ",2015,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 109,612 "," 2,458 "," 38,144 ",2015,DFT
17,"17- Vehicles, aircraft and vessels"," 76,648 "," 1,070 "," 29,982 ",2015,DFT
18,"18- Optical, medical equipments and watches"," 9,692 ", 46 ," 3,757 ",2015,DFT
19,"19- Arms, ammunition, parts and accessories", 107 , 3 , 6 ,2015,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 10,295 ", 664 ," 2,115 ",2015,DFT
21,"21- Art work, collectors pieces and antiques", 145 , 52 , 225 ,2015,DFT
1,"01- Live Animals, animals products"," 7,586 "," 1,309 ", 711 ,2016,DFT
2,02- Vegetable products ," 21,675 ", 926 ," 5,824 ",2016,DFT
3,"03- Animal and vegetable fats, oils and waxes", 885 , 595 , 246 ,2016,DFT
4,04- Prepared Foodstuffs," 13,524 "," 6,919 "," 4,420 ",2016,DFT
5,05- Mineral products ," 9,351 "," 3,381 ", 380 ,2016,DFT
6,06- Products of chemical and allied industries," 27,800 "," 4,457 "," 3,361 ",2016,DFT
7,"07- Plastics, rubber and articles thereof"," 12,304 "," 4,782 "," 3,540 ",2016,DFT
8,"08- Raw hides, skins, leather and articles"," 3,142 ", 15 , 426 ,2016,DFT
9,"09- Wood and articles, cork and plating materials"," 3,113 ", 62 , 585 ,2016,DFT
10,"10- Pulp of wood, paper products and waste paper"," 3,629 "," 4,602 ", 479 ,2016,DFT
11,11- Textiles and textile articles," 20,148 ", 996 ," 7,166 ",2016,DFT
12,"12- Footwear, headgear and umbrellas"," 4,526 ", 28 , 849 ,2016,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 4,955 "," 2,395 "," 1,501 ",2016,DFT
14,"14- Pearls, precious stones and metals"," 172,840 "," 71,086 "," 62,880 ",2016,DFT
15,15- Base metals and articles of base metals," 23,199 "," 23,065 "," 3,927 ",2016,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 110,088 "," 2,466 "," 35,743 ",2016,DFT
17,"17- Vehicles, aircraft and vessels"," 76,983 "," 1,627 "," 27,142 ",2016,DFT
18,"18- Optical, medical equipments and watches"," 9,889 ", 48 ," 3,199 ",2016,DFT
19,"19- Arms, ammunition, parts and accessories", 133 , 32 , 19 ,2016,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 9,616 ", 608 ," 2,493 ",2016,DFT
21,"21- Art work, collectors pieces and antiques", 170 , 39 , 173 ,2016,DFT
1,"01- Live Animals, animals products"," 8,142 "," 1,198 ", 643 ,2017,DFT
2,02- Vegetable products ," 21,241 "," 1,020 "," 5,299 ",2017,DFT
3,"03- Animal and vegetable fats, oils and waxes"," 1,061 ", 598 , 184 ,2017,DFT
4,04- Prepared Foodstuffs," 13,485 "," 8,735 "," 3,312 ",2017,DFT
5,05- Mineral products ," 9,573 "," 3,778 ", 469 ,2017,DFT
6,06- Products of chemical and allied industries," 28,416 "," 3,935 "," 3,070 ",2017,DFT
7,"07- Plastics, rubber and articles thereof"," 12,601 "," 4,225 "," 3,261 ",2017,DFT
8,"08- Raw hides, skins, leather and articles"," 3,101 ", 18 , 300 ,2017,DFT
9,"09- Wood and articles, cork and plating materials"," 3,345 ", 80 , 438 ,2017,DFT
10,"10- Pulp of wood, paper products and waste paper"," 3,842 "," 2,998 ", 397 ,2017,DFT
11,11- Textiles and textile articles," 18,586 "," 1,082 "," 6,754 ",2017,DFT
12,"12- Footwear, headgear and umbrellas"," 4,177 ", 33 , 728 ,2017,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 4,928 "," 2,274 "," 1,420 ",2017,DFT
14,"14- Pearls, precious stones and metals"," 178,164 "," 63,778 "," 73,169 ",2017,DFT
15,15- Base metals and articles of base metals," 23,732 "," 24,517 "," 3,656 ",2017,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 107,071 "," 3,156 "," 42,211 ",2017,DFT
17,"17- Vehicles, aircraft and vessels"," 57,298 "," 1,291 "," 35,359 ",2017,DFT
18,"18- Optical, medical equipments and watches"," 9,941 ", 66 ," 3,766 ",2017,DFT
19,"19- Arms, ammunition, parts and accessories", 87 , 10 , 21 ,2017,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 9,272 ", 718 ," 1,984 ",2017,DFT
21,"21- Art work, collectors pieces and antiques", 218 , 152 , 312 ,2017,DFT
1,"01- Live Animals, animals products"," 8,961 "," 1,229 "," 1,056 ",2018,DFT
2,02- Vegetable products ," 18,373 "," 1,356 "," 5,082 ",2018,DFT
3,"03- Animal and vegetable fats, oils and waxes", 973 , 680 , 78 ,2018,DFT
4,04- Prepared Foodstuffs," 12,431 "," 6,378 "," 2,387 ",2018,DFT
5,05- Mineral products ," 11,300 "," 3,952 ", 297 ,2018,DFT
6,06- Products of chemical and allied industries," 26,549 "," 5,099 "," 3,253 ",2018,DFT
7,"07- Plastics, rubber and articles thereof"," 12,730 "," 3,848 "," 2,948 ",2018,DFT
8,"08- Raw hides, skins, leather and articles"," 3,044 ", 25 , 339 ,2018,DFT
9,"09- Wood and articles, cork and plating materials"," 3,451 ", 60 , 362 ,2018,DFT
10,"10- Pulp of wood, paper products and waste paper"," 4,195 "," 2,701 ", 553 ,2018,DFT
11,11- Textiles and textile articles," 15,755 "," 1,316 "," 4,951 ",2018,DFT
12,"12- Footwear, headgear and umbrellas"," 3,775 ", 48 , 659 ,2018,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 4,675 "," 2,345 "," 1,049 ",2018,DFT
14,"14- Pearls, precious stones and metals"," 170,391 "," 47,343 "," 76,813 ",2018,DFT
15,15- Base metals and articles of base metals," 25,472 "," 26,020 "," 3,692 ",2018,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 83,386 "," 3,318 "," 33,845 ",2018,DFT
17,"17- Vehicles, aircraft and vessels"," 45,985 "," 3,067 "," 33,774 ",2018,DFT
18,"18- Optical, medical equipments and watches"," 10,117 ", 130 ," 3,740 ",2018,DFT
19,"19- Arms, ammunition, parts and accessories", 85 , 5 , 26 ,2018,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 8,654 ", 693 ," 1,675 ",2018,DFT
21,"21- Art work, collectors pieces and antiques", 199 , 112 , 167 ,2018,DFT
1,"01- Live Animals, animals products"," 8,713 "," 1,127 ", 979 ,2019,DFT
2,02- Vegetable products ," 17,830 "," 1,515 "," 5,166 ",2019,DFT
3,"03- Animal and vegetable fats, oils and waxes", 879 ," 1,165 ", 79 ,2019,DFT
4,04- Prepared Foodstuffs," 12,009 "," 6,446 "," 2,441 ",2019,DFT
5,05- Mineral products ," 22,555 "," 4,148 ", 354 ,2019,DFT
6,06- Products of chemical and allied industries," 27,458 "," 7,630 "," 3,416 ",2019,DFT
7,"07- Plastics, rubber and articles thereof"," 12,391 "," 4,452 "," 3,697 ",2019,DFT
8,"08- Raw hides, skins, leather and articles"," 2,896 ", 24 , 401 ,2019,DFT
9,"09- Wood and articles, cork and plating materials"," 2,844 ", 50 , 353 ,2019,DFT
10,"10- Pulp of wood, paper products and waste paper"," 4,159 "," 2,286 ", 732 ,2019,DFT
11,11- Textiles and textile articles," 15,785 "," 1,338 "," 5,431 ",2019,DFT
12,"12- Footwear, headgear and umbrellas"," 3,826 ", 71 , 809 ,2019,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 4,714 "," 1,938 ", 873 ,2019,DFT
14,"14- Pearls, precious stones and metals"," 173,576 "," 61,297 "," 70,005 ",2019,DFT
15,15- Base metals and articles of base metals," 24,566 "," 25,975 "," 3,518 ",2019,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 84,393 "," 3,709 "," 32,410 ",2019,DFT
17,"17- Vehicles, aircraft and vessels"," 41,398 ", 953 ," 28,571 ",2019,DFT
18,"18- Optical, medical equipments and watches"," 10,282 ", 91 ," 4,371 ",2019,DFT
19,"19- Arms, ammunition, parts and accessories", 46 , 5 , 17 ,2019,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 8,604 ", 727 ," 1,676 ",2019,DFT
21,"21- Art work, collectors pieces and antiques", 302 , 59 , 421 ,2019,DFT
1,"01- Live Animals, animals products"," 8,016 ", 825 ," 1,011 ",2020,DFT
2,02- Vegetable products ," 17,899 "," 1,618 "," 4,486 ",2020,DFT
3,"03- Animal and vegetable fats, oils and waxes", 913 ," 1,857 ", 70 ,2020,DFT
4,04- Prepared Foodstuffs," 10,785 "," 8,955 "," 1,956 ",2020,DFT
5,05- Mineral products ," 28,665 "," 3,987 ", 357 ,2020,DFT
6,06- Products of chemical and allied industries," 24,197 "," 6,607 "," 3,358 ",2020,DFT
7,"07- Plastics, rubber and articles thereof"," 11,125 "," 5,034 "," 2,963 ",2020,DFT
8,"08- Raw hides, skins, leather and articles"," 1,980 ", 17 , 282 ,2020,DFT
9,"09- Wood and articles, cork and plating materials"," 2,255 ", 47 , 392 ,2020,DFT
10,"10- Pulp of wood, paper products and waste paper"," 3,520 "," 2,512 ", 924 ,2020,DFT
11,11- Textiles and textile articles," 12,350 "," 1,320 "," 3,559 ",2020,DFT
12,"12- Footwear, headgear and umbrellas"," 2,878 ", 32 , 568 ,2020,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 3,876 "," 1,819 ", 643 ,2020,DFT
14,"14- Pearls, precious stones and metals"," 177,253 "," 82,568 "," 46,900 ",2020,DFT
